ID,Experiment,Ceph,leg,Weight
MV01,1,12,32,0.0201
MV02,1,12.5,32,0.0225
MV03,1,10,25,0.0093
MV04,1,10,23,0.0091
MV05,1,12.5,36,0.0213
MV06,1,11,29,0.0122
MV07,1,11.5,29,0.0149
MV08,1,11,34,0.0212
MV09,1,10,25,0.0119
MV10,1,11.5,28,0.015
MV11,1,11,25,0.0105
MV12,1,11,28,0.0133
MV13,1,12,30,0.0169
MV14,1,9.5,21,0.0116
MV15,1,12,36,0.0184
MV16,1,11,25,0.0123
MV17,1,11.5,32,0.0175
MV18,1,11,30,0.0143
MV19,1,11,31,0.0136
MV20,1,12,32,0.0197
MV21,1,13,34,0.0226
MV22,1,11,26,0.0107
MV23,1,11,29,0.0131
MV24,1,11,28,0.0116
MV25,1,11,29,0.0123
MV26,1,10.5,26,0.0114
MV27,1,9.5,24,0.0079
MV28,1,11,27,0.0146
MV29,1,13.5,39,0.0224
MV30,1,13,32,0.0223
MV31,1,11,29,0.0145
MV32,1,13,37,0.0159
MV33,1,11,28,0.0108
MV34,1,11.5,31,0.0153
MV35,1,11.5,29.5,0.0136
MV36,1,12,29.5,0.0136
MV37,1,,,
MV38,1,12.5,34,0.0163
MV39,1,11,27.5,0.0107
MV40,1,13,35,0.023
MV41,1,11.5,29,0.0172
MV42,1,12,32,0.157
MV43,1,13,35,0.0212
MV44,1,12,34,0.0145
MV45,1,12,31,0.0144
MV46,1,13,33,0.0203
MV47,1,12,30,0.0143
MV48,1,13,33,0.0224
MV49,1,14,40,0.0318
MV50,1,12,33,0.0225
SV1,1,12,28,0.0108
SV2,1,12,33,0.0177
SV3,1,11,30,0.0117
SV4,1,12,32,0.0129
SV5,1,10,25,0.01
SV6,1,13,36,0.0264
SV7,1,12,31,0.0169
SV8,1,9,19,0.0066
SV9,1,11,27,0.0123
SV10,1,11,31,0.0174
SV11,1,12,31,0.0173
SV12,1,12.5,34,0.0215
SV13,1,11.5,30,0.0174
SV14,1,10,26,0.0108
SV15,1,15,41,0.0329
SV16,1,9,24,0.0089
SV17,1,11.5,30,0.0167
SV18,1,11,28,0.0177
SV19,1,11.5,30,0.0166
SV20,1,11,27,0.0106
SV21,1,13,36,0.0225
SV22,1,10,25,0.0111
SV23,1,13,36,0.0255
SV24,1,11,24,0.0095
SV25,1,10,24,0.0111
2016_1,2,12,31,0.0175
2016_2,2,12,28,0.0132
2016_3,2,14,,0.0242
2016_5,2,11,25,0.0163
2016_6,2,10,21,0.0117
2016_9,2,12,30,0.0223
2016_11,2,11,25,0.0201
2016_12,2,12,30,0.0185
2016_13,2,12,33,0.0228
2016_14,2,11,22,0.015
2017_1,2,11,29.5,0.0144
2017_2,2,11,34,0.0209
2017_3,2,10,32,0.0166
2017_4,2,13,40,0.0319
2017_5,2,11,31,0.0147
2017_6,2,11,32,0.0178
2017_7,2,9,21,0.0117
2017_8,2,11,31,0.0175
2017_9,2,8,17,0.0076
2017_10,2,13,37,0.0312
2017_11,2,12,29,0.0147
2017_12,2,11,,0.0107
2017_13,2,11,31,0.0152
2017_14,2,11,30,0.0153
2017_15,2,13,40,0.0198
2017_16,2,11,29,0.0135
2017_17,2,12,31,0.0167
2017_18,2,11,29,0.0147
2017_19,2,10,27,0.0116
2017_20,2,9,25,0.0084
2017_21,2,10,25,0.0131
2017_22,2,9,22,0.0082
2017_23,2,11,31,0.0174
